State,Date,New Cases,Historic Cases
United States,Dec 29 2021,486428,0
United States,Dec 28 2021,439624,0
United States,Dec 27 2021,453519,0
United States,Dec 26 2021,206794,0
United States,Dec 25 2021,114168,0
United States,Dec 24 2021,232143,0
United States,Dec 23 2021,281263,621
United States,Dec 22 2021,245449,0
United States,Dec 21 2021,207077,129
United States,Dec 20 2021,279556,0
United States,Dec 19 2021,99052,0
United States,Dec 18 2021,82555,0
United States,Dec 17 2021,161687,0
United States,Dec 16 2021,159823,1347
United States,Dec 15 2021,146526,840
United States,Dec 14 2021,126058,1725
United States,Dec 13 2021,192802,0
United States,Dec 12 2021,54525,0
United States,Dec 11 2021,59775,0
United States,Dec 10 2021,133522,0
United States,Dec  9 2021,138464,0
United States,Dec  8 2021,130350,0
United States,Dec  7 2021,126262,0
United States,Dec  6 2021,192481,0
United States,Dec  5 2021,51434,0
United States,Dec  4 2021,60755,0
United States,Dec  3 2021,151140,0
United States,Dec  2 2021,143340,0
United States,Dec  1 2021,133299,0
United States,Nov 30 2021,120463,165
United States,Nov 29 2021,101019,171
United States,Nov 28 2021,53376,92
United States,Nov 27 2021,49409,51
United States,Nov 26 2021,80963,19
United States,Nov 25 2021,70316,76
United States,Nov 24 2021,105315,245
United States,Nov 23 2021,102022,126
United States,Nov 22 2021,154158,50
United States,Nov 21 2021,34089,490
United States,Nov 20 2021,39038,81
United States,Nov 19 2021,113706,100
United States,Nov 18 2021,113515,10684
United States,Nov 17 2021,106274,55
United States,Nov 16 2021,96816,59
United States,Nov 15 2021,143765,9
United States,Nov 14 2021,28663,61
United States,Nov 13 2021,47508,15371
United States,Nov 12 2021,123181,145
United States,Nov 11 2021,71660,590
United States,Nov 10 2021,90477,1792
United States,Nov  9 2021,83115,177
United States,Nov  8 2021,128229,49
United States,Nov  7 2021,26008,66
United States,Nov  6 2021,28496,528
United States,Nov  5 2021,89552,186
United States,Nov  4 2021,88141,219
United States,Nov  3 2021,79988,108
United States,Nov  2 2021,73123,685
United States,Nov  1 2021,120275,7959
United States,Oct 31 2021,20563,64
United States,Oct 30 2021,28767,569
United States,Oct 29 2021,87049,137
United States,Oct 28 2021,81973,21885
United States,Oct 27 2021,83913,457
United States,Oct 26 2021,102453,262
United States,Oct 25 2021,94619,47
United States,Oct 24 2021,23608,94
United States,Oct 23 2021,29785,451
United States,Oct 22 2021,80789,316
United States,Oct 21 2021,87319,377
United States,Oct 20 2021,76412,532
United States,Oct 19 2021,81052,520
United States,Oct 18 2021,70589,23
United States,Oct 17 2021,49283,76
United States,Oct 16 2021,62184,825
United States,Oct 15 2021,90988,806
United States,Oct 14 2021,96689,498
United States,Oct 13 2021,97040,732
United States,Oct 12 2021,91158,649
United States,Oct 11 2021,75216,84
United States,Oct 10 2021,59512,161
United States,Oct  9 2021,70019,648
United States,Oct  8 2021,107806,544
United States,Oct  7 2021,112028,793
United States,Oct  6 2021,107844,10536
United States,Oct  5 2021,104923,238
United States,Oct  4 2021,87562,29
United States,Oct  3 2021,68425,207
United States,Oct  2 2021,81378,493
United States,Oct  1 2021,120132,1428
United States,Sep 30 2021,122578,1427
United States,Sep 29 2021,116410,1354
United States,Sep 28 2021,117127,1069
United States,Sep 27 2021,103438,613
United States,Sep 26 2021,77081,239
United States,Sep 25 2021,95658,646
United States,Sep 24 2021,133096,781
United States,Sep 23 2021,135584,1466
United States,Sep 22 2021,132406,445
United States,Sep 21 2021,135053,624
United States,Sep 20 2021,93699,33
United States,Sep 19 2021,97079,87
United States,Sep 18 2021,123100,575
United States,Sep 17 2021,157579,531
United States,Sep 16 2021,167353,540
United States,Sep 15 2021,163079,916
United States,Sep 14 2021,162197,660
United States,Sep 13 2021,113730,164
United States,Sep 12 2021,116278,79
United States,Sep 11 2021,153230,527
United States,Sep 10 2021,169454,349
United States,Sep  9 2021,186794,404
United States,Sep  8 2021,170021,1347
United States,Sep  7 2021,118384,90
United States,Sep  6 2021,110283,404
United States,Sep  5 2021,124674,277
United States,Sep  4 2021,142205,417
United States,Sep  3 2021,182905,388
United States,Sep  2 2021,182287,401
United States,Sep  1 2021,198837,323
United States,Aug 31 2021,176940,504
United States,Aug 30 2021,134600,83
United States,Aug 29 2021,118240,179
United States,Aug 28 2021,151184,361
United States,Aug 27 2021,182770,201
United States,Aug 26 2021,187064,253
United States,Aug 25 2021,177791,257
United States,Aug 24 2021,163718,367
United States,Aug 23 2021,117411,69
United States,Aug 22 2021,127005,70
United States,Aug 21 2021,142847,376
United States,Aug 20 2021,166919,1934
United States,Aug 19 2021,174952,204
United States,Aug 18 2021,168171,1040
United States,Aug 17 2021,150789,250
United States,Aug 16 2021,110292,130
United States,Aug 15 2021,110619,74
United States,Aug 14 2021,139123,167
United States,Aug 13 2021,146556,97
United States,Aug 12 2021,151573,266
United States,Aug 11 2021,144570,270
United States,Aug 10 2021,136577,183
United States,Aug  9 2021,93951,82
United States,Aug  8 2021,97118,42
United States,Aug  7 2021,119970,99
United States,Aug  6 2021,125936,7773
United States,Aug  5 2021,129131,234
United States,Aug  4 2021,124084,333
United States,Aug  3 2021,110580,322
United States,Aug  2 2021,103620,25
United States,Aug  1 2021,63014,44
United States,Jul 31 2021,81500,164
United States,Jul 30 2021,104996,334
United States,Jul 29 2021,99299,229
United States,Jul 28 2021,89504,120
United States,Jul 27 2021,86076,142
United States,Jul 26 2021,71556,36
United States,Jul 25 2021,43265,28
United States,Jul 24 2021,53305,122
United States,Jul 23 2021,68473,345
United States,Jul 22 2021,72838,283
United States,Jul 21 2021,61595,184
United States,Jul 20 2021,51001,136
United States,Jul 19 2021,45483,266
United States,Jul 18 2021,28387,45
United States,Jul 17 2021,31506,71
United States,Jul 16 2021,42352,42
United States,Jul 15 2021,40551,112
United States,Jul 14 2021,38466,106
United States,Jul 13 2021,34881,0
United States,Jul 12 2021,29346,0
United States,Jul 11 2021,16765,0
United States,Jul 10 2021,20526,0
United States,Jul  9 2021,27613,0
United States,Jul  8 2021,28114,155785
United States,Jul  7 2021,22802,0
United States,Jul  6 2021,20198,0
United States,Jul  5 2021,9217,0
