filenames,done,total_tweets,good_tweets
2020_april14_april15.csv,1,387,360
2020_april15_april16.csv,1,321,304
2020_april16_april17.csv,1,443,423
2020_april17_april18.csv,1,373,352
2020_april18_april19.csv,1,1020,953
2020_april19_april20.csv,1,884,852
2020_april1_april2.csv,1,608,573
2020_april20_april21.csv,1,869,817
2020_april21_april22.csv,1,878,839
2020_april22_april23.csv,1,831,784
2020_april23_april24.csv,1,818,774
2020_april24_april25.csv,1,747,688
2020_april25_april26.csv,1,693,645
2020_april26_april27.csv,1,939,884
2020_april27_april28.csv,1,744,704
2020_april28_april29.csv,1,1408,1278
2020_april29_april30.csv,1,1751,1588
2020_april2_april3.csv,1,661,622
2020_april30_may1.csv,1,1637,1475
2020_april3_april4.csv,1,592,550
2020_april4_april5.csv,1,661,634
2020_april5_april6.csv,1,709,667
2020_april6_april7.csv,1,549,512
2020_april7_april8.csv,1,593,572
2020_april8_april9.csv,1,491,457
2020_april9_april10.csv,1,507,467
2020_august10_august11.csv,1,1363,1244
2020_august11_august12.csv,1,1501,1393
2020_august12_august13.csv,1,1632,1524
2020_august13_august14.csv,1,1674,1557
2020_august14_august15.csv,1,1689,1542
2020_august15_august16.csv,1,1716,1568
2020_august16_august17.csv,1,1515,1354
2020_august17_august18.csv,1,1593,1459
2020_august18_august19.csv,1,1945,1809
2020_august19_august20.csv,1,1571,1442
2020_august1_august2.csv,1,1462,1353
2020_august20_august21.csv,1,1667,1550
2020_august21_august22.csv,1,1592,1469
2020_august22_august23.csv,1,1439,1321
2020_august23_august24.csv,1,1273,1168
2020_august24_august25.csv,1,1379,1261
2020_august25_august26.csv,1,1538,1427
2020_august26_august27.csv,1,1535,1399
2020_august27_august28.csv,1,1447,1343
2020_august28_august29.csv,1,1376,1254
2020_august29_august30.csv,1,1421,1309
2020_august2_august3.csv,1,1247,1146
2020_august30_august31.csv,1,1195,1103
2020_august31_september1.csv,1,1298,1199
2020_august3_august4.csv,1,1375,1270
2020_august4_august5.csv,1,1507,1397
2020_august5_august6.csv,1,1557,1434
2020_august6_august7.csv,1,1576,1454
2020_august7_august8.csv,1,1634,1513
2020_august8_august9.csv,1,1630,1501
2020_august9_august10.csv,1,1427,1311
2020_december10_december11.csv,1,521,466
2020_december11_december12.csv,1,630,552
2020_december12_december13.csv,1,690,622
2020_december13_december14.csv,1,515,476
2020_december14_december15.csv,1,528,471
2020_december15_december16.csv,1,618,557
2020_december16_december17.csv,1,577,519
2020_december17_december18.csv,1,604,528
2020_december18_december19.csv,1,597,520
2020_december19_december20.csv,1,482,441
2020_december1_december2.csv,1,613,555
2020_december20_december21.csv,1,591,543
