Date,MMWR_week,Location,Distributed,Dist_Per_100K,Administered,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus
2021-12-08,49,KS,4876755,167395,3801000,130470,152787,158458,231245
2021-12-08,49,MT,1676425,156854,1361061,127347,146438,151849,220329
2021-12-08,49,UT,5129730,160006,4219274,131607,159768,166031,237816
2021-12-08,49,MN,10281050,182300,8550716,151618,174777,180508,254476
2021-12-08,49,MA,13707690,198878,11996820,174056,194859,198381,248544
2021-12-08,49,WA,14413975,189287,11737930,154144,177278,181529,241206
2021-12-08,49,WI,9550215,164024,8467164,145423,166598,172718,254108
2021-12-08,49,RI,2103635,198576,1803317,170227,190873,194702,259311
2021-12-08,49,AZ,12016120,165086,9869154,135589,157041,161695,225611
2021-12-08,49,IA,5453935,172863,4337179,137467,159614,166221,246092
2021-12-08,49,IL,22003925,173645,18460672,145683,166816,171520,226915
2021-12-08,49,TN,10430010,152727,8402549,123039,142743,149199,222041
2021-12-08,49,NC,18043640,172039,13965333,133154,153110,158333,223588
2021-12-08,49,VA,16016985,187651,13560631,158873,181368,185290,240459
2021-12-08,49,CO,10379085,180232,8897564,154506,176583,181603,242910
2021-12-08,49,ID,2816590,157610,1932722,108151,0,144236,220333
2021-12-08,49,GA,17676805,166489,12551710,118218,138281,144114,207974
2021-12-08,49,SD,1536445,173677,1186299,134097,158215,164644,238930
2021-12-08,49,NH,2746790,202013,2180321,160352,180175,183635,247260
2021-12-08,49,OH,18680895,159815,14874510,127251,146626,152590,223797
2021-12-08,49,AR,4888870,162001,3619655,119943,139840,144743,203289
2021-12-08,49,IN,10405770,154567,7990656,118693,138580,144663,221490
2021-12-08,49,NY,36670875,188505,30907627,158879,181962,185860,218849
2021-12-08,49,VT,1341540,214994,1162167,186248,205878,209849,283325
2021-12-08,49,MS,4499295,151178,3275983,110075,129278,135178,202648
2021-12-08,49,WV,3406685,190090,2947415,164463,188826,197292,299480
2021-12-08,49,CA,72187615,182697,61422331,155451,179442,183283,236362
2021-12-08,49,NV,4833180,156913,4060865,131840,153541,158620,211967
2021-12-08,49,ME,2725850,202784,2313383,172100,191600,196277,259717
2021-12-08,49,PA,24301445,189826,18875261,147440,167757,172924,237408
2021-12-08,49,KY,7188945,160910,5575021,124786,144639,150504,216346
2021-12-08,49,HI,2862880,202199,2123235,149960,172306,175618,219991
2021-12-08,49,ND,1174070,154065,923918,121239,142679,148626,226010
2021-12-08,49,CT,7009885,196615,6175809,173221,195391,199427,259311
2021-12-08,49,WY,827475,142974,652223,112693,131610,138103,211981
2021-12-08,49,MD,12514340,206996,9760840,161451,185345,188955,241567
2021-12-08,49,OK,6095730,154050,5015846,126760,149347,155770,224019
2021-12-08,49,LA,6748110,145158,5341225,114895,135464,141589,212731
2021-12-08,49,NE,3242260,167610,2683836,138742,163016,169454,243636
2021-12-08,49,OR,8132695,192821,6389265,151486,171998,176231,229477
2021-12-08,49,TX,50045545,172595,38267255,131975,156465,161051,218907
2021-12-08,49,FL,39242385,182712,31738676,147775,168339,173105,238438
2021-12-08,49,AK,1298855,177550,982461,134299,158131,163202,219376
2021-12-08,49,NJ,17484285,196847,13939638,156939,180192,184488,227852
2021-12-08,49,SC,8538515,165838,6365940,123641,142665,148288,220815
2021-12-08,49,DE,1889005,193990,1487837,152792,175027,179628,249356
2021-12-08,49,MO,9478515,154438,7647995,124612,144196,149788,216133
2021-12-08,49,MI,17001930,170243,13129819,131471,150491,156265,224540
2021-12-08,49,AL,7929510,161722,5372947,109581,127594,133279,197602
2021-12-08,49,NM,3707185,176800,3223249,153720,177622,183068,235456
2021-12-07,49,AZ,11948160,164152,9840702,135198,156670,161303,225106
2021-12-07,49,WV,3400135,189724,2136682,119225,136814,141123,205376
2021-12-07,49,IN,10267000,152505,7966553,118335,138223,144277,221002
2021-12-07,49,TN,10376700,151947,8376573,122659,142355,148784,221465
2021-12-07,49,NJ,17334295,195158,13878111,156247,179500,183743,227078
2021-12-07,49,MD,12366150,204545,9717236,160730,184643,188200,240786
2021-12-07,49,KY,7145935,159948,5558008,124405,144258,150096,215826
2021-12-07,49,GA,17610935,165868,12504049,117769,137818,143610,207315
2021-12-07,49,OR,8079265,191554,6368201,150986,171521,175722,228890
2021-12-07,49,NY,36401405,187119,30772072,158182,181261,185114,217931
2021-12-07,49,PA,24153595,188671,18809800,146929,167260,172396,236755
2021-12-07,49,HI,2850820,201347,2117604,149562,171967,175263,219543
2021-12-07,49,ND,1164530,152813,921592,120934,142373,148301,225682
2021-12-07,49,AK,1290115,176355,979906,133950,157847,162907,219125
2021-12-07,49,IL,21898255,172811,18376413,145018,166160,170821,226042
2021-12-07,49,MS,4483215,150638,3275658,110064,129267,135166,202629
2021-12-07,49,AR,4856200,160918,3598844,119254,139094,143943,202046
2021-12-07,49,SC,8467965,164468,6346665,123267,142279,147875,220258
2021-12-07,49,NV,4809690,156151,4051842,131547,153229,158286,211562
2021-12-07,49,KS,4853495,166597,3787074,129992,152303,157935,230560
2021-12-07,49,AL,7894870,161015,5358521,109287,127284,132948,197088
2021-12-07,49,IA,5381675,170572,4322252,136994,159142,165711,245443
2021-12-07,49,CA,71534555,181044,61199872,154888,178885,182693,235732
2021-12-07,49,WY,824405,142444,650183,112341,131243,137707,211522
2021-12-07,49,DE,1885035,193582,1460017,149935,172248,176664,246219
2021-12-07,49,NH,2717910,199889,2175101,159968,179792,183225,246830
2021-12-07,49,MI,16853470,168756,13083449,131007,150049,155792,223917
2021-12-07,49,TX,49717965,171466,38128091,131495,155983,160538,218230
2021-12-07,49,OK,6083560,153743,4998345,126317,148880,155266,223346
2021-12-07,49,MO,9414505,153395,7619697,124151,143729,149283,215534
2021-12-07,49,SD,1527585,172675,1185420,133997,158117,164544,238801
2021-12-07,49,VT,1322810,211993,1158512,185662,205433,209376,283065
2021-12-07,49,NC,17959160,171234,13919561,132718,152662,157851,223029
2021-12-07,49,NE,3214650,166183,2673734,138220,162503,168904,243058
2021-12-07,49,FL,39008865,181625,31736555,147765,168327,173093,238417
2021-12-07,49,ID,2792720,156274,1927060,107834,0,143817,219805
2021-12-07,49,OH,18559105,158773,14815116,126743,146109,152039,223089
2021-12-07,49,CO,10314095,179103,8866050,153958,176059,181044,242322
2021-12-07,49,UT,5085980,158642,4182706,130467,158728,164892,236365
2021-12-07,49,WA,14265985,187343,11700091,153647,176811,181030,240705
2021-12-07,49,MA,13563390,196785,11954533,173443,194262,197743,247921
2021-12-07,49,RI,2084695,196788,1796376,169572,190314,194106,258613
2021-12-07,49,MN,10094190,178987,8516193,151006,174222,179911,253889
2021-12-07,49,NM,3688745,175920,3212184,153192,177104,182513,234821
2021-12-07,49,LA,6721780,144592,5325498,114557,135094,141193,212166
2021-12-07,49,VA,15841765,185598,13480440,157933,180501,184364,239410
2021-12-07,49,WI,9458955,162457,8430572,144795,165986,172058,253171
2021-12-07,49,ME,2713490,201865,2305652,171524,191139,195792,259246
2021-12-07,49,CT,6935615,194532,6155509,172651,194860,198856,258672
2021-12-07,49,MT,1668645,156126,1357530,127017,146131,151521,219941
2021-12-06,49,UT,5062460,157908,4146853,129348,157641,163705,235225
2021-12-06,49,OH,18498615,158255,14783790,126475,145858,151768,222863
2021-12-06,49,WV,3396865,189542,2136574,119219,136807,141116,205367
2021-12-06,49,DE,1880895,193157,1460016,149935,172248,176664,246219
2021-12-06,49,VA,15822135,185368,13441242,157474,180097,183932,239073
2021-12-06,49,CA,71475695,180895,61099523,154634,178644,182438,235525
2021-12-06,49,AR,4842600,160468,3598840,119254,139094,143943,202046
2021-12-06,49,NY,36218565,186180,30686689,157743,180831,184656,217450
2021-12-06,49,WA,14221055,186753,11555341,151747,175225,179338,239242
